LocationID,taxiName,mapName,Borough,xID
84,Eltingville/Annadale/Prince's Bay,Prince's Bay,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Prince_s_Bay
85,Erasmus,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
86,Far Rockaway,Rockaway Beach,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Rockaway_Beach
87,Financial District North,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District
88,Financial District South,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District
89,Flatbush/Ditmas Park,Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Flatbush
90,Flatiron,Flatiron District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Flatiron_District
91,Flatlands,Mill Basin,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Mill_Basin
92,Flushing,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
93,Flushing Meadows-Corona Park,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
94,Fordham South,Fordham,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fordham
95,Forest Hills,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park
96,Forest Park/Highland Park,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park
97,Fort Greene,Vinegar Hill,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Vinegar_Hill
98,Fresh Meadows,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills
99,Freshkills Park,New Springville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/New_Springville
100,Garment District,Hell's Kitchen,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Hell_s_Kitchen
101,Glen Oaks,Little Neck,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Little_Neck
102,Glendale,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park
103,Governor's Island/Ellis Island/Liberty Island,Governors Island,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Governors_Island
104,Governor's Island/Ellis Island/Liberty Island,Governors Island,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Governors_Island
105,Governor's Island/Ellis Island/Liberty Island,Governors Island,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Governors_Island
106,Gowanus,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn
107,Gramercy,Flatiron District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Flatiron_District
108,Gravesend,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst
109,Great Kills,"Bay Terrace, Staten Island",Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace_Staten_Island
110,Great Kills Park,"Bay Terrace, Staten Island",Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace_Staten_Island
111,Green-Wood Cemetery,South Slope,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope
112,Greenpoint,Williamsburg,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg
113,Greenwich Village North,Greenwich Village,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Greenwich_Village
114,Greenwich Village South,Greenwich Village,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Greenwich_Village
115,Grymes Hill/Clifton,Grymes Hill,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Grymes_Hill
116,Hamilton Heights,Washington Heights,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Washington_Heights
117,Hammels/Arverne,Arverne,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Arverne
